bookingID,employeeID,customerID,productID,destinationID,classID,feeID,bookingDate,tripStart,tripEnd,numberOfTravellers,description,basePrice,taxRate,status,createdAt,updatedAt
182,5,39,10,5,2,2,2022-05-18,2022-06-13,2022-06-30,3,,2520.65,5.0,completed,2024-01-15 09:00:00,2024-01-15 09:00:00
183,5,78,3,4,7,5,2023-01-18,2023-03-18,2023-03-22,5,,6436.18,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
184,3,40,17,7,,5,2022-01-30,2022-02-17,2022-02-26,2,,6777.33,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
185,3,5,15,1,4,,2023-04-21,2023-05-30,2023-06-14,6,,7423.05,5.0,pending,2024-01-15 09:00:00,2024-01-15 09:00:00
186,9,4,8,6,8,,2023-05-01,2023-06-14,2023-07-04,3,,3081.87,5.0,cancelled,2024-01-15 09:00:00,2024-01-15 09:00:00
187,4,34,3,5,,,2023-08-09,2023-10-04,2023-10-13,2,,5355.35,5.0,pending,2024-01-15 09:00:00,2024-01-15 09:00:00
188,3,27,9,11,1,6,2022-01-10,2022-02-16,2022-02-23,6,,1799.0,5.0,cancelled,2024-01-15 09:00:00,2024-01-15 09:00:00
189,9,2,8,5,5,6,2023-10-21,2023-11-14,2023-11-30,4,,6886.9,5.0,completed,2024-01-15 09:00:00,2024-01-15 09:00:00
190,8,33,7,8,,,2023-10-01,2023-11-02,2023-11-23,1,,555.11,5.0,pending,2024-01-15 09:00:00,2024-01-15 09:00:00
191,3,48,18,11,5,,2022-04-21,2022-05-28,2022-06-02,3,,7912.71,5.0,pending,2024-01-15 09:00:00,2024-01-15 09:00:00
192,9,42,9,5,5,,2023-06-14,2023-08-08,2023-08-18,1,,6540.72,5.0,cancelled,2024-01-15 09:00:00,2024-01-15 09:00:00
193,8,77,13,11,,,2022-01-27,2022-03-16,2022-04-03,3,,2445.7,5.0,completed,2024-01-15 09:00:00,2024-01-15 09:00:00
194,8,52,13,12,,5,2022-07-14,2022-08-11,2022-08-21,6,,4509.76,5.0,cancelled,2024-01-15 09:00:00,2024-01-15 09:00:00
195,4,61,12,9,,,2023-11-05,2023-12-17,2023-12-25,3,,1232.02,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
196,9,95,9,12,3,3,2023-11-02,2023-11-14,2023-11-24,3,,2174.96,5.0,cancelled,2024-01-15 09:00:00,2024-01-15 09:00:00
197,3,40,14,6,,,2023-04-20,2023-05-04,2023-05-22,1,,6997.95,5.0,completed,2024-01-15 09:00:00,2024-01-15 09:00:00
198,4,75,20,2,4,,2023-11-29,2023-12-30,2024-01-18,3,,3598.3,5.0,cancelled,2024-01-15 09:00:00,2024-01-15 09:00:00
199,9,20,5,4,,4,2022-05-27,2022-06-23,2022-07-01,1,,4156.86,5.0,pending,2024-01-15 09:00:00,2024-01-15 09:00:00
200,4,23,11,11,,,2022-08-03,2022-09-27,2022-10-05,5,,6233.63,5.0,completed,2024-01-15 09:00:00,2024-01-15 09:00:00
